"","se_a00002_002","se_a00002_003","pct_se_a01001_005","pct_se_a01001_008","pct_se_a01001_009","pct_se_a01001_013","pct_se_a03001_006","pct_se_a03001_007","pct_se_a03001_008","pct_se_a10008_005","pct_se_a10002b_003","pct_se_a10002b_004","pct_se_a10002b_005","pct_se_a10002b_006","pct_se_a10002b_007","pct_se_a10002b_008","pct_se_a12001_004","pct_se_a12001_008","pct_se_a09005_010","pct_se_a09005_004","pct_se_a09005_005","pct_se_a09005_007","pct_se_a09001_005","pct_se_a09001_006","pct_se_a09001_008","pct_se_a09001_009","se_t006_001","se_t009_001","se_t012_001","se_t012_002","se_t012_003","min_dist","mar_precipitation_inch","may_precipitation_inch","jul_precipitation_inch","aug_precipitation_inch","sep_precipitation_inch","nov_precipitation_inch","ep_unemp","ep_groupq","all_icu","case_ind1","met2","met1_1","contained","omicron_quartile","com_lev_ind"
"2012",1.940985,992.7946415,3.94,9.08,10.53,5.19,0,0.1,0.78,2.38,34.29,7.14,5,0,3.57,0,34.08,0.28,8.79,0,0,0.31,6.44,2.25,2.15,1.12,26.89655172,10.1,13.62741989,19.14572864,28.9,89329.4854848296,1.33,3.32,4.61,2.6,4.91,0.7,0.9,4.3,0,54.0540540540541,0,0,1,0,0
"2013",3.162808,1873.967428,4.25,11.3,13.41,2.77,0,0.2,1.03,5.18,29.7,6.93,9.65,2.23,0.25,0.25,35.93,0.07,9.36,0.14,0.03,0.97,17.37,14.04,4.54,4.61,10.03436426,8.3,21.59880961,27.67377201,32,32654.6482197667,0.05,1.04,2.49,2.39,6.31,0.71,1.6,1.2,0,435.161009573542,0.204065040650407,1.15569526627219,0,0,0
"2014",2.722797,974.7329177,2.71,7.57,12.55,7.69,0,0,1.02,3.04,31.21,4.14,2.23,3.82,1.59,0.32,33.58,0.25,5.63,0.51,0.72,1.01,7.5,6.28,0.94,1.95,17.51527495,5.5,6.632620783,72.97970808,26.6,86164.5124739446,1.88,3.23,3.91,2.24,5.34,0.9,0.3,4,0,440.528634361234,0,0,0,0,0
"2015",4.541235,2760.482337,4.69,11.73,11.44,0.89,0,1.45,2.39,6.62,32.5,13.88,8.85,4.34,2.6,4.92,36.83,0.97,7.23,0.1,0.32,0.48,8.53,11.43,4.04,1.1,14.71382953,8.9,12.44279213,66.57232704,29.1,41540.7071093229,0.02,1.88,3.63,2.35,6.24,0.48,3.7,1.7,0,219.648562300319,0.101818181818182,0.520285610786041,0,0,0
"2016",4.552839,2110.331446,3.33,10.87,11.78,2.72,0.02,0.4,1.26,4.29,21.17,10.77,6.7,9.57,2.63,0.96,37.21,0.37,9.45,0,0,0.71,11.4,8.52,5.83,3.77,10.36245353,10.7,14.87494456,29.35728632,34.1,14838.6116170315,0.19,1.89,2.55,3.01,6.91,0.49,1.4,1.8,0,359.78835978836,0.11977886977887,30.0679535750797,0,0,1
"2017",8.219262,1042.672667,3.62,10,13.71,1.95,0,1.26,0.18,2.84,20.87,3.89,10.28,7.17,0.78,1.56,43.96,0.71,8.4,0,0.26,0.72,15.63,4.87,5.2,2.02,7.470119522,10.6,3.921260085,77.29107312,31.4,64959.1653939901,0.17,2.7,2.24,2.91,6.86,0.36,0.9,1.7,0,256.504213997801,0.11977886977887,30.0679535750797,0,0,1
"2018",15.85732,1926.176844,3.36,12.76,12.7,2.43,0,1.14,1.89,3.26,37.56,13.86,1.65,4.8,0.73,0.48,34.67,0.63,8.66,0.02,0.11,0.75,17.19,7.84,3.4,1.89,5.864702673,7.9,7.263157581,74.30017109,33.9,33592.2078084468,0.6,3.3,2.86,3.19,6.1,0.39,3.1,2.1,0,385.792628491264,0.11977886977887,30.0679535750797,0,0,1
"2019",5.561867,1825.286282,4.1,12.25,12.04,1.88,0,1.92,3.04,6.46,23.7,11.85,19.75,4.72,1.35,0.96,38.61,0.39,8.4,0,0.19,0.22,7.15,9.57,6.42,0.65,17.47302471,9.9,2.374681528,44.89769321,38.7,119734.896423085,0.02,1.17,4.11,3.02,7.28,0.94,4.1,1.1,0,161.213845424372,0.204065040650407,1.15569526627219,1,0,0
"2020",2.974202,981.7758167,3.15,8.36,11.85,5.58,0,1.4,0.89,2.16,22.52,8.72,4.84,0.97,0.73,0,38.13,0.32,7.03,0,0.14,4.07,10,14.14,3.52,1.24,10.95652174,11.6,25.9152028,33.94113884,38.3,47385.2803719816,0.63,1.89,3.33,2.8,5.04,0.8,0.3,2.6,0,34.7342827370615,0.0942760942760943,48.1788398535363,0,0,0
"2021",2.54252,722.5115051,3.92,9.47,12.74,2.01,0,0.16,4.52,1.6,11.83,21.51,15.05,5.38,7.53,0,39.36,0.31,7.08,0,0,0,12.05,18.39,3.11,2.48,10.1010101,9.3,18.04349077,40.03250271,28.4,25873.1201859594,0.43,2.64,2.48,2.92,6.36,0.29,4.4,0,0,153.139356814701,0.11977886977887,30.0679535750797,0,0,0
