"","x"
"278",128.066025150744
"279",319.921250153808
"280",133.090874449074
"281",41.3621949538122
"282",52.6223469566743
"283",1303.04788254719
"284",35.017184358991
"285",260.078023407022
"286",45.1705187081232
"287",68.746896841462
"288",318.069133261612
"289",1565.29516994633
"290",54.7105810263705
"291",141.357027463651
"292",79.5967100026532
"293",187.57327080891
"294",326.447909044858
"295",90.3713440683536
"296",103.310692062889
"297",15.8127767235927
"298",62.1283393982427
"299",237.928075512911
"300",73.2708089097304
"301",274.725274725275
"302",256.755104536007
"303",0
"304",499.822643578085
"305",118.166062706791
"306",203.748981255094
"307",665.039507907745
"308",109.791396346941
"309",1197.24550847422
"310",628.111963396582
"311",534.012077656336
"312",404.466990076092
"313",881.654084143213
"314",212.664871835479
"315",289.939689890593
"316",159.2711205494
